Date,Price
2020-01-02,1520.45
2020-01-03,1546.10
2020-01-06,1548.00
2020-01-07,1550.80
2020-01-08,1557.25
2020-01-09,1553.70
2020-01-10,1558.30
2020-01-13,1545.90
2020-01-14,1541.20
2020-01-15,1555.80
2020-01-16,1558.90
2020-01-17,1560.20
2020-01-21,1563.50
2020-01-22,1560.10
2020-01-23,1565.70
2020-01-24,1571.80
2020-01-27,1582.35
2020-01-28,1579.90
2020-01-29,1586.40
2020-01-30,1589.60
2020-01-31,1593.40
2020-02-03,1591.90
2020-02-04,1595.30
2020-02-05,1567.50
2020-02-06,1570.30
2020-02-07,1566.90
2020-02-10,1571.20
2020-02-11,1577.40
2020-02-12,1576.50
2020-02-13,1582.90
2020-02-14,1585.00
2020-02-18,1588.30
2020-02-19,1591.20
2020-02-20,1606.80
2020-02-21,1616.70
2020-02-24,1644.60
2020-02-25,1654.20
2020-02-26,1641.90
2020-02-27,1638.50
2020-02-28,1648.60
2020-03-02,1642.20
2020-03-03,1647.80
2020-03-04,1651.30
2020-03-05,1658.90
2020-03-06,1671.40
2020-03-09,1667.60
2020-03-10,1661.20
2020-03-11,1654.30
2020-03-12,1639.80
2020-03-13,1621.50
2020-03-16,1527.90
2020-03-17,1523.60
2020-03-18,1484.30
2020-03-19,1490.70
2020-03-20,1485.00
2020-03-23,1513.70
2020-03-24,1562.60
2020-03-25,1612.90
2020-03-26,1622.40
2020-03-27,1618.90
2020-03-30,1621.60
2020-03-31,1620.40
2020-04-01,1615.30
2020-04-02,1610.20
2020-04-03,1635.90
2020-04-06,1671.80
2020-04-07,1668.50
2020-04-08,1670.30
2020-04-09,1684.90
2020-04-13,1689.40
2020-04-14,1725.70
2020-04-15,1718.90
2020-04-16,1720.30
2020-04-17,1729.50
2020-04-20,1724.10
2020-04-21,1682.40
2020-04-22,1694.90
2020-04-23,1705.30
2020-04-24,1722.90
2020-04-27,1730.80
2020-04-28,1734.60
2020-04-29,1738.90
2020-04-30,1735.60
2020-05-01,1711.20
2020-05-04,1708.40
2020-05-05,1699.30
2020-05-06,1697.50
2020-05-07,1707.80
2020-05-08,1717.60
2020-05-11,1713.90
2020-05-12,1715.30
2020-05-13,1731.90
2020-05-14,1739.50
2020-05-15,1732.80
2020-05-18,1755.20
2020-05-19,1751.30
2020-05-20,1765.90
2020-05-21,1758.40
2020-05-22,1751.80
2020-05-26,1744.20
2020-05-27,1741.60
2020-05-28,1738.90
2020-05-29,1746.30
2020-06-01,1742.60
2020-06-02,1738.90
2020-06-03,1735.20
2020-06-04,1718.30
2020-06-05,1714.60
2020-06-08,1710.90
2020-06-09,1707.20
2020-06-10,1718.50
2020-06-11,1732.80
2020-06-12,1735.60
2020-06-15,1738.40
2020-06-16,1741.20
2020-06-17,1745.90
2020-06-18,1749.60
2020-06-19,1753.30
2020-06-22,1757.00
2020-06-23,1763.80
2020-06-24,1769.60
2020-06-25,1775.40
2020-06-26,1781.20
2020-06-29,1787.00
2020-06-30,1792.80
2020-07-01,1798.60
2020-07-02,1802.30
2020-07-06,1806.00
2020-07-07,1812.50
2020-07-08,1819.00
2020-07-09,1823.90
2020-07-10,1828.80
2020-07-13,1835.20
2020-07-14,1841.60
2020-07-15,1848.00
2020-07-16,1854.40
2020-07-17,1863.90
2020-07-20,1873.40
2020-07-21,1882.90
2020-07-22,1892.40
2020-07-23,1896.30
2020-07-24,1900.20
2020-07-27,1916.90
2020-07-28,1933.60
2020-07-29,1950.30
2020-07-30,1967.00
2020-07-31,1981.60
2020-08-03,1996.20
2020-08-04,2010.80
2020-08-05,2025.40
2020-08-06,2036.90
2020-08-07,2048.40
2020-08-10,2051.20
2020-08-11,2054.00
2020-08-12,2047.90
2020-08-13,2041.80
2020-08-14,2038.60
